UID,NAME,MODEL,DESCRIPTION,PRICE,BRAND,SIZE,Age Group
AEA5C956,AIR FORCE   LV EMB SHOES,s8hCLW ,"The Nike Air Force 1 '07 LV8 EMB boasts a sleek, low-profile design with embossed detailing, offering a modern twist on a classic.  Premium leather and a padded low-cut collar ensure comfort, while the iconic Air cushioning provides superior impact protection.  Ideal for everyday wear or stylish casual outings, these sneakers appeal to fashion-conscious individuals seeking both comfort and timeless style.",258720,Nike,"5, 6, 7, 12",Adult
68C7DE02,AIR FORCE   LV MENS SHOES,7bCM7s ,"Elevate your street style with the Nike Air Force 1 '07 LV8.  This men's sneaker boasts a bold, redesigned silhouette featuring premium leather, enhanced cushioning, and a striking color-block design. Its versatile aesthetic blends classic heritage with modern flair, perfect for everyday wear or urban exploration.",124920,Nike,"5, 7, 10, 12",Adult
531F6415,AIR FORCE   LV MENS SHOES,9WB5bx ,"The Nike Air Force 1 '07 LV8 elevates the iconic silhouette with a bold, layered design.  Premium leather and suede combine for luxurious texture, while the updated tooling offers enhanced comfort.  Perfect for the fashion-forward sneakerhead seeking a refined yet street-ready style.",168710,Nike,"8, 11",Adult
F0D47435,AIR FORCE   LV MENS SHOES,FVc98t ,"The Nike Air Force 1 '07 LV8 elevates the iconic silhouette with bold, layered overlays and a sleek, modern aesthetic.  Premium leather uppers promise durability, while the updated design caters to a style-conscious audience seeking a fresh take on a timeless classic.  Perfect for everyday wear or elevated streetwear looks.",447190,Nike,"6, 10",Adult
684ECD9F,AIR FORCE   LV MENS SHOES,PZf0LL ,"The Nike Air Force 1 '07 LV8 elevates the classic silhouette with bold, layered leather overlays and a sculpted midsole.  Its premium materials and contemporary design offer unparalleled comfort and style for the discerning sneakerhead, perfect for everyday wear or making a statement.  A blend of heritage and modern flair.",296270,Nike,"4, 5, 10",Adult
5E579582,AIR FORCE   LV MENS SHOES,qBw7N1 ,"The Nike Air Force 1 '07 LV8 elevates the iconic silhouette with bold, layered design elements.  Premium leather and suede uppers offer durability and style, while updated tooling provides enhanced comfort.  These versatile sneakers seamlessly blend classic aesthetics with modern flair, ideal for streetwear enthusiasts and sneakerheads alike.",264600,Nike,11,Adult
D12B1E41,AIR FORCE   LV MENS SHOES,qvL1qB ,"The Nike Air Force 1 '07 LV8 elevates the iconic silhouette with bold, layered overlays, showcasing premium leather and a sculpted midsole.  Its modern design blends classic basketball style with contemporary flair, perfect for the fashion-forward individual seeking both comfort and statement style.",15470,Nike,"4, 6, 10, 12",Adult
D8401019,AIR FORCE   LX MENS SHOES,D2ZCMj ,"The Nike Air Force 1 '07 LX Men's Shoe boasts a premium leather upper in a sophisticated colorway, showcasing Nike's iconic swoosh.  Its clean lines and comfortable cushioning are ideal for everyday wear,  blending classic style with modern comfort for the discerning, fashion-conscious man.",336960,Nike,"4, 10",Adult
FE1859E9,AIR FORCE   LX MENS SHOES,kgJBLz ,"The Nike Air Force 1 '07 LX men's shoe boasts a premium leather upper in a sophisticated colorway,  featuring subtle branding and a classic silhouette. Its durable construction and comfortable cushioning promise all-day wear.  Ideal for the style-conscious individual seeking both comfort and timeless appeal.",139400,Nike,8,Adult
82CAE655,AIR FORCE   LX NBHD MENS SHOES,qnMX3r ,"The Nike Air Force 1 '07 LX boasts a premium leather upper in a rich, subtly textured off-white, showcasing elevated craftsmanship.  Its clean lines and low-profile design offer timeless style for the discerning man, perfect for everyday wear or sophisticated casual outings.  A subtle Nike swoosh completes the iconic look.",66170,Nike,7,Adult
7DDBF5DD,AIR FORCE   MENS SHOES,6HPpcT ,"Classic Air Force 1s, reimagined.  Clean white leather upper, iconic perforations, and a low-profile silhouette offer timeless style and comfort.  Durable construction ensures longevity for everyday wear, making these a staple for sneakerheads and casual wearers alike.",334430,Nike,"6, 7, 12",Adult
B0A282C1,AIR FORCE   MID WOMENS SHOE,2NP34w ,"The Nike Air Force 1 '07 Mid Women's Shoe boasts a sleek, mid-top silhouette with premium leather uppers and iconic Nike Air cushioning for all-day comfort.  Its clean, minimalist design, accented by subtle branding, makes it versatile enough for streetwear or elevated casual looks.  A timeless classic, ideal for the fashion-conscious woman seeking both style and comfort.",275120,Nike,"7, 8, 9, 10",Adult
D6E1154F,AIR FORCE   PREMIUM MENS SHOES,S9NNTv ,"The Nike Air Force 1 '07 Premium men's shoe boasts a refined leather upper, showcasing clean lines and a timeless silhouette.  Its plush cushioning ensures all-day comfort, while the durable construction promises lasting wear.  A perfect blend of classic style and modern comfort for the discerning gentleman.",11980,Nike,"10, 12",Adult
519A1DF0,AIR FORCE   SE WOMENS SHOES,58VkQV ,"These Nike Air Force 1 '07 SE Women's Shoes boast a sleek, modernized silhouette with premium leather and suede overlays.  The subtle color blocking and metallic accents elevate the classic design, offering both style and comfort for everyday wear or a night out.  Ideal for fashion-conscious women seeking timeless athletic-inspired footwear.",322090,Nike,"4, 6, 7, 11, 12",Adult
F78E4604,AIR FORCE   WOMENS SHOES,PqdxJw ,"Sleek and effortlessly stylish, these women's Air Force 1 '07s boast a crisp white leather upper, punctuated by subtle branding.  Their iconic silhouette offers all-day comfort and versatile appeal, perfect for elevating casual outfits or adding a touch of classic cool to any ensemble. A timeless choice for the modern woman.",156220,Nike,6,Adult
FECD49FB,AIR FORCE  BIG KIDS SHOES,k4BQ8C ,"These Nike Air Force 1s for big kids boast a classic, clean design in crisp white leather.  Durable and comfortable, they offer iconic Air cushioning for all-day play.  The timeless silhouette makes them perfect for stylish young athletes seeking both comfort and cool.",440810,Nike,"1, 2",Kid
D637D9A8,AIR FORCE  BIG KIDS SHOES,km6NJj ,"These Nike Air Force 1 Big Kids' shoes boast a classic, clean design with a crisp white leather upper.  Durable and stylish, they offer iconic Air cushioning for all-day comfort, perfect for young athletes and sneakerheads alike.  The minimalist aesthetic ensures versatility for various outfits and occasions.",92790,Nike,"1, 2, ",Kid
23F6DC3D,AIR FORCE  BIG KIDS SHOES,xw5kjz ,"Iconic Air Force 1s, reimagined for young trendsetters.  These durable, leather big kids' sneakers boast a classic silhouette with updated colorways.  Perfect for everyday style and active play, offering comfort and timeless appeal for the next generation of sneakerheads.",109720,Nike,"1, 2",Kid
6E5729E4,AIR FORCE  HIGH  LV MENS SHOES,lR6frj ,"Elevate your style with the Nike Air Force 1 '07 LV8 High.  These men's sneakers boast a bold, high-top silhouette crafted from premium leather, showcasing iconic Nike branding.  Their durable construction and comfortable cushioning ensure all-day wear, perfect for streetwear enthusiasts and sneakerheads alike.",134920,Nike,"7, 12",Adult
1351A411,AIR FORCE  HIGH BIG KIDS SHOES,FWPQFN ,"Dominating the court in style, these Air Force 1 Highs for big kids boast a sleek, high-top silhouette crafted from premium leather.  Bold branding and a classic white colorway ensure timeless appeal.  Durable construction provides lasting comfort and support for active young athletes.",124680,Nike,"1, 3",Kid
0A60608F,AIR FORCE  IMPACT NEXT NATURE BIG KIDS SHOES,617Rzw ,"Nike Air Force 1 Next Nature Big Kids' Shoes boast a sustainable design, marrying iconic style with eco-conscious materials.  Recycled content shines in its subtly textured upper, offering breathable comfort and a fresh take on a classic.  Ideal for young trendsetters prioritizing both style and sustainability.",274690,Nike,1,Kid
2F88A5D3,AIR FORCE  LOVER XX WOMENS SHOES,j4B5P5 ,"These Air Force 1 Lovers XX women's sneakers boast a sleek, minimalist design in pristine white leather.  Subtle branding and a comfortable low-profile sole elevate everyday style.  Ideal for fashion-forward women seeking timeless athletic-inspired footwear for casual wear or stylish outings.",297810,Nike,"4, 6, 7, 11",Adult
6D159267,AIR FORCE  LOW RETRO MENS SHOES,1VHstQ ,"Iconic Air Force 1s get a retro refresh.  These men's low-tops boast clean lines, premium leather, and a classic silhouette, offering timeless style and comfortable all-day wear.  Perfect for the discerning sneakerhead who appreciates both heritage and modern appeal.",414590,Nike,"4, 5, 9, 10",Adult
9D63CC74,AIR FORCE  LOW RETRO MENS SHOES,53gMmt ,"These Nike Air Force 1 '07 Low Retro men's shoes boast a timeless, clean design with premium leather uppers.  The iconic silhouette offers all-day comfort and superior support, perfect for the discerning sneakerhead seeking classic style and effortless cool.  A versatile choice for casual wear, elevating any outfit.",406540,Nike,4,Adult
BBCF4389,AIR FORCE  LOW RETRO MENS SHOES,KZhTqR ,"Classic Nike Air Force 1 '07 Low in a timeless white leather, these men's sneakers boast a clean silhouette and durable construction.  Their iconic design offers all-day comfort and effortless style, perfect for casual wear or streetwear. A versatile choice for the discerning sneakerhead.",253630,Nike,"5, 6, 11, 12",Adult
2839468B,AIR FORCE  LV  BIG KIDS SHOES,1JQL4Z ,"These Air Force 1 LV8 2 Big Kids' Shoes boast a bold, modernized silhouette with elevated details, perfect for young trendsetters.  Premium leather and a chunky sole provide durable comfort and a statement style.  The vibrant color scheme adds a playful touch to this iconic design.",265620,Nike,"1, 2",Kid
221FAC45,AIR FORCE  LV BIG KIDS SHOES,1lGPrs ,"The Nike Air Force 1 '07 LV8 Big Kids' sneaker boasts a bold, elevated design with premium leather uppers and a chunky midsole. Its sleek silhouette, accented by subtle branding, offers both style and comfort for young athletes. Durable and versatile, these kicks are perfect for active kids who demand quality and standout flair.",485070,Nike,"1, 2, ",Kid
AFFB03E2,AIR FORCE  LV BIG KIDS SHOES,3f2DJj ,"These Air Force 1 LV8 Big Kids' shoes boast a bold, modernized silhouette with layered textures and a chunky midsole.  Premium leather and suede combine for durability and style, perfect for young trendsetters seeking comfort and a standout look.  The elevated design offers superior cushioning and all-day wear.",202950,Nike,"1, 2, ",Kid
B7B7494C,AIR FORCE  LV BIG KIDS SHOES,47knZ6 ,"These Nike Air Force 1 LV8 Big Kids' shoes boast a bold, modernized silhouette with premium leather uppers and a chunky midsole for elevated comfort and style.  Their vibrant color scheme and iconic swoosh make a statement, perfect for young trendsetters who demand both comfort and cutting-edge design.",124580,Nike,"1, 3",Kid
C93B03DF,AIR FORCE  LV BIG KIDS SHOES,5D3Vm7 ,"These Air Force 1 LV8 Big Kids' shoes boast a bold, modernized silhouette with elevated tooling, showcasing Nike's iconic design language.  Premium leather uppers and comfortable cushioning offer durability and all-day wear.  Perfect for stylish young trendsetters who appreciate iconic sneaker heritage with a contemporary twist.",94850,Nike,"1, 2, ",Kid
C0C69786,AIR FORCE  LV BIG KIDS SHOES,bGNdjh ,"Elevated Air Force 1s for young trendsetters!  These bold, kid-sized kicks boast a chunky platform sole and premium leather upper, blending iconic style with modern edge.  Perfect for expressing individuality, they offer superior comfort and durability for active kids.",235860,Nike,"1, 2, ",Kid
55F86CC5,AIR FORCE  LV BIG KIDS SHOES,BktXWT ,"Boldly reimagined, these Air Force 1 LV8 Big Kids' shoes fuse classic sneaker design with a contemporary, elevated silhouette.  Premium leather, striking color-blocking, and a chunky midsole deliver both style and superior comfort, perfect for young trendsetters seeking a unique statement piece.",278270,Nike,"1, 3",Kid
8882045F,AIR FORCE  LV BIG KIDS SHOES,HPbjCf ,"These Air Force 1 LV8 Big Kids' sneakers boast a bold, modernized silhouette with premium leather uppers, showcasing a sleek, elevated design.  The chunky midsole and vibrant color blocking create a statement piece perfect for young trendsetters, offering comfort and style for everyday wear and beyond.",341310,Nike,2,Kid
24B29F26,AIR FORCE  LV BIG KIDS SHOES,kbd5wR ,"The Nike Air Force 1 '07 LV8 Big Kids' shoe boasts a bold, elevated design with premium leather uppers and striking color-blocking.  Its chunky midsole and enhanced cushioning provide superior comfort, perfect for active young trendsetters who demand both style and performance.  A statement piece for the next generation of sneakerheads.",206000,Nike,"1, 3",Kid
C22A6D8A,AIR FORCE  LV BIG KIDS SHOES,PNbgfR ,"These Air Force 1 LV8s for big kids boast a bold, modernized silhouette with premium leather uppers and eye-catching design accents.  The chunky midsole offers enhanced cushioning, while the durable construction ensures long-lasting wear.  Perfect for the trend-conscious youth seeking stylish and comfortable footwear for everyday adventures.",410650,Nike,"1, 3",Kid
E15EB52B,AIR FORCE  MID  LX NBHD MENS SHOES,CvfbLv ,"The Nike Air Force 1 '07 LX ""Neighborhood"" boasts a premium suede upper in a rich, deep brown, accented by crisp white midsoles and subtle Neighborhood branding.  Its mid-top silhouette offers enhanced ankle support, perfect for the discerning streetwear enthusiast seeking both style and comfort.",344460,Nike,"4, 9, 12",Adult
104DC20C,AIR FORCE  MID  MENS SHOES,CmXM62 ,"The Nike Air Force 1 '07 Mid boasts a classic, elevated silhouette with premium leather uppers, showcasing a timeless design.  Its padded collar ensures comfort, while the iconic Air cushioning provides superior shock absorption. Perfect for the style-conscious individual seeking retro-inspired athletic footwear suitable for everyday wear.",306840,Nike,5,Adult
5CAF2936,AIR FORCE  MID  MENS SHOES,rJwpc6 ,"Classic Air Force 1s get a mid-top upgrade, boasting a sleek, timeless design in premium leather.  The padded collar offers superior comfort, while the iconic swoosh and durable construction promise lasting style and performance for the discerning sneakerhead.  Perfect for everyday wear or casual outings.",395000,Nike,"10, 11, 12",Adult
61189759,AIR FORCE  NEXT NATURE BIG KIDS SHOES,NvdqCW ,"Sustainable style meets iconic comfort.  These Nike Air Force 1 Next Nature Big Kids' shoes boast a sleek, minimalist design crafted from recycled materials, showcasing Nike's commitment to eco-conscious footwear.  Perfect for young trendsetters who value both style and sustainability.",163860,Nike,"2, 3",Kid
D8E49072,AIR FORCE  SHADOW WOMENS SHOES,kTgn9J ,"These Nike Air Force 1 Shadow sneakers boast a layered, deconstructed design in a classic colorway.  The double swoosh and exaggerated midsole add a modern twist to the iconic silhouette, perfect for fashion-forward women seeking comfortable, stylish everyday footwear with a bold, playful edge.",414220,Nike,"8, 12",Adult
A2CAC8FD,AIR FORCE  UNITY BIG KIDS SHOES,3BPWF0 ,"These Nike Air Force 1 Unity Big Kids' shoes boast a vibrant, multicolored design, showcasing a unique patchwork aesthetic. Crafted with durable leather and textile, they offer classic AF1 comfort and style. Ideal for expressive young trendsetters, they blend playful energy with iconic sneaker heritage.",431940,Nike,1,Kid
5359A304,AIR GRIFFEY MAX  BIG KIDS SHOES,GspBLx ,"The Nike Air Griffey Max 1 Big Kids' Shoes boast a vibrant, retro-inspired design, combining iconic baseball-inspired aesthetics with modern comfort.  Premium materials, including supple leather and breathable mesh, ensure durability and style.  Perfect for young athletes and sneakerheads who appreciate classic cool.",302880,Nike,"1, 3",Kid
A9EE7459,AIR GRIFFEY MAX  MENS SHOES,6q83v3 ,"The Nike Air Griffey Max 1 boasts a vibrant, retro baseball-inspired design, featuring a bold color scheme and iconic swoosh.  Its durable construction, visible Air Max cushioning, and supportive upper promise superior comfort and performance for the discerning sneakerhead or baseball enthusiast.  A collectible classic, ready for the field or the street.",204950,Nike,"4, 9",Adult
C66C02BC,AIR HUARACHE CRAFT WOMENS SHOES,Cp4dSR ,"The Nike Air Huarache Craft women's shoe boasts a sleek, minimalist design with premium materials like suede and breathable mesh.  Its sculpted heel and innovative tooling offer superior comfort and support, perfect for everyday wear or stylish outings.  The refined palette and crafted details elevate this classic sneaker for the modern woman.",139340,Nike,"4, 7, 9, 10",Adult
4D11E6E7,AIR HUMARA MENS SHOES,9R56hW ,"The Air Humara men's shoe boasts a retro-inspired design with a breathable mesh upper and durable suede overlays.  Its chunky sole provides superior cushioning and traction, perfect for everyday wear or light trails.  The vibrant color palette and iconic Humara branding appeal to the modern, active man seeking stylish comfort.",199740,Nike,"9, 12",Adult
F38672B4,AIR JORDAN  ELEVATE HIGH SE WOMENS SHOES,RXFk6f ,"Elevate your style with the Air Jordan 1 Elevate High SE.  These women's shoes boast a premium leather upper, striking silhouette, and elevated platform sole for added height and comfort.  Perfect for fashion-forward women who demand both style and substance, these Jordans effortlessly blend athletic heritage with modern sophistication.",381410,Nike,"4, 6, 8, 12",Adult
DCBA50B9,AIR JORDAN  ELEVATE LOW SE WOMENS SHOES,Q630Pk ,"The Air Jordan 1 Elevate Low SE Women's shoe boasts a sleek, low-profile design with premium leather overlays.  Its elevated platform adds a modern twist to the iconic silhouette, perfect for the fashion-forward woman seeking comfort and style.  The subtle color blocking and refined details make it a versatile choice for everyday wear or special occasions.",436050,Nike,"4, 5, 9, 11, 12",Adult
30287B1A,AIR JORDAN  HI FLYEASE BIG KIDS SHOES,4Jpc7G ,"These Air Jordan 1 High FlyEase Big Kids' shoes boast a sleek, streamlined design in vibrant color blocking.  Their innovative FlyEase technology ensures easy on/off, while premium materials provide superior comfort and durability for active young athletes.  A must-have for the stylish and independent kid.",11020,Nike,2,Kid
734E4FC1,AIR JORDAN  LOW BIG KIDS SHOES,kAvvx4 ,"These Air Jordan 1 Low Big Kids' shoes boast a clean, classic silhouette updated with a vibrant color block design. Premium leather and comfortable cushioning ensure all-day wear for young sneakerheads.  The iconic Air Jordan wing and subtle branding details complete this stylish and durable basketball-inspired shoe.",175490,Nike,1,Kid
EE12A303,AIR JORDAN  LOW FLYEASE MENS EASY ON OFF SHOES,D3wW7l ,"Effortless style meets adaptive comfort in the Air Jordan 1 Low FlyEase.  Its sleek, low-profile design boasts a streamlined closure system, perfect for quick on/off transitions. Premium materials and iconic Air Jordan branding cater to the discerning sneakerhead seeking both ease and sophistication.",319830,Nike,"4, 9",Adult
AD14AB8C,AIR JORDAN  LOW OG BIG KIDS SHOES,Zkxl96 ,"These Air Jordan 1 Low OG Big Kids' Shoes boast a classic silhouette reimagined for young athletes.  Premium leather uppers in a clean colorway offer durability and style, while the iconic Air-Sole unit provides all-day comfort.  Perfect for the trendsetting kid who demands both performance and timeless design.",133040,Nike,3,Kid
B57DBDC0,AIR JORDAN  LOW OG SHOES,h08L0D ,"The Air Jordan 1 Low OG boasts a clean, minimalist design with premium leather uppers, showcasing a timeless silhouette.  Its low-profile offers comfort and versatility, perfect for everyday wear or casual outings.  A subtle color palette ensures effortless style for a discerning, minimalist-minded audience.",451950,Nike,"6, 9, 10, 11",Adult
4D54CCF7,AIR JORDAN  LOW OG WOMENS SHOES,cdgt2t ,"The Air Jordan 1 Low OG Women's shoe boasts a sleek, low-profile design with premium leather and suede overlays.  Its clean color blocking and subtle branding cater to a sophisticated, street-style aesthetic.  Ideal for the fashion-conscious woman who appreciates iconic comfort and timeless design.",201860,Nike,"10, 11",Adult
2BB6F88F,AIR JORDAN  LOW SE BIG KIDS SHOES,8BhMvT ,"These Air Jordan 1 Low SE Big Kids' Shoes boast a vibrant, multi-textured design, blending smooth leather with suede overlays for a premium feel.  The playful color blocking and iconic Air Jordan branding cater to young sneakerheads, offering both style and comfort for everyday wear and active play.",473770,Nike,3,Kid
206BCF17,AIR JORDAN  LOW SE BIG KIDS SHOES,fS3WJJ ,"These Air Jordan 1 Low SE Big Kids' Shoes boast a vibrant, playful color-blocking design, crafted with premium leather and textile for superior comfort and durability.  The low-top silhouette offers flexibility, perfect for active young athletes and sneakerheads who appreciate iconic style with a modern twist.",440720,Nike,3,Kid
9FE1A01D,AIR JORDAN  LOW SE BIG KIDS SHOES,HV5zT1 ,"These Air Jordan 1 Low SE Big Kids' Shoes boast a vibrant, textured upper, likely suede or nubuck, with contrasting accents.  Their low-profile design offers comfort and style for young athletes and sneakerheads.  The clean lines and bold color-blocking make a statement, perfect for everyday wear or the court.",350160,Nike,2,Kid
14823969,AIR JORDAN  LOW SE BIG KIDS SHOES,p8D2gd ,"These Air Jordan 1 Low SE Big Kids' Shoes boast a vibrant, playful color-blocking design, crafted with premium leather and textile materials for comfort and durability.  The low-top silhouette offers flexibility, perfect for active young athletes and style-conscious kids seeking iconic sneaker flair.  A must-have for the next generation of Jordan fans.",471870,Nike,"1, 2",Kid
BE3AD2AC,AIR JORDAN  LOW SE MENS SHOES,JRgFCC ,"Sleek and stylish, the Air Jordan 1 Low SE boasts a premium leather upper in a striking colorway, perfect for the fashion-conscious sneakerhead.  Its low-profile design offers both comfort and versatility, ideal for everyday wear or casual outings.  The iconic Air Jordan silhouette delivers undeniable style and heritage.",215390,Nike,7,Adult
68BBB44A,AIR JORDAN  LOW SE WOMENS SHOES,TpjjTQ ,"These Air Jordan 1 Low SE Women's shoes boast a sleek, minimalist design with premium leather and suede overlays.  The subtle color blocking and unique texture create a sophisticated yet sporty look, perfect for the fashion-conscious woman who appreciates both style and comfort.  Ideal for everyday wear or elevated casual outings.",198270,Nike,"8, 9, 11",Adult
374A9019,AIR JORDAN  LOW WOMENS SHOES,BdGwjm ,"Sleek and stylish, these women's Air Jordan 1 Low's boast a clean, minimalist design with premium leather.  The low-cut silhouette offers comfort and flexibility, perfect for everyday wear or casual outings.  Subtle branding elevates the sophisticated aesthetic, making these a versatile choice for the fashion-conscious woman.",283730,Nike,"4, 6, 7, 10",Adult
E67B52BB,AIR JORDAN  LOW WOMENS SHOES,rJrHLw ,"Sleek and stylish, these women's Air Jordan 1 Low sneakers boast a clean, minimalist design with premium leather uppers.  Their low-profile silhouette offers comfort and versatility, perfect for everyday wear or a casual chic look.  A subtle color palette ensures effortless style integration into any wardrobe.",423500,Nike,12,Adult
CF30DDCC,AIR JORDAN  MID BIG KIDS SHOES,pGNQSG ,"These Air Jordan 1 Mid Big Kids' shoes boast a vibrant, eye-catching color block design, merging classic style with modern flair.  Premium leather and textile materials ensure durability and comfort for active young athletes.  The iconic Air Jordan silhouette, coupled with enhanced cushioning, provides superior support and all-day playability.",385020,Nike,"1, 3",Kid
1EEC3C2E,AIR JORDAN  MID MENS SHOES,b3js2D ,"Sleek and stylish, the Air Jordan 1 Mid boasts a clean, contemporary design with premium leather uppers.  Its iconic silhouette and comfortable midsole cater to discerning sneakerheads and casual wearers alike, offering timeless style and all-day comfort.  A versatile choice for streetwear or a refined casual look.",201860,Nike,4,Adult
D0F4F1D6,AIR JORDAN  MID SE BIG KIDS SHOES,b55t5r ,"These Air Jordan 1 Mid SE Big Kids' Shoes boast a vibrant, playful color-blocking design, perfect for young sneakerheads.  Premium leather and suede create a durable, stylish build, while the iconic Air Jordan silhouette ensures comfort and all-day wear.  A must-have for active kids with a passion for bold style.",411080,Nike,3,Kid
79A7D63E,AIR JORDAN  MID SE BIG KIDS SHOES,bDTxdX ,"These Air Jordan 1 Mid SE Big Kids' shoes boast a vibrant, playful color-blocking design, crafted with premium leather and textile.  Durable and stylish, they offer superior comfort for young athletes and sneakerheads, blending iconic Air Jordan heritage with modern flair. Perfect for everyday wear or the court.",472130,Nike,"1, 3",Kid
E5A79866,AIR JORDAN  MID SE BIG KIDS SHOES,F1jtG2 ,"These Air Jordan 1 Mid SE Big Kids' shoes boast a vibrant, multi-textured upper, combining smooth leather with suede overlays for a premium look and feel.  The bold colorblocking and iconic Air Jordan Wings logo appeal to young sneakerheads, offering both style and the legendary comfort of Air cushioning for active kids.",288530,Nike,"1, 2",Kid
AD4FB469,AIR JORDAN  MID SE BIG KIDS SHOES,WvPMgM ,"These Air Jordan 1 Mid SE Big Kids' Shoes boast a vibrant, playful color-blocking design, crafted with premium leather and textile for durability and comfort.  Their iconic silhouette, enhanced with modern details, makes them a stylish and functional choice for young athletes and sneakerheads alike.  Perfect for everyday wear or the court.",237650,Nike,"1, 2",Kid
DE89492D,AIR JORDAN  MID SE CRAFT BIG KIDS SHOES,44BWZx ,"These Air Jordan 1 Mid SE Craft Big Kids' Shoes boast a premium suede upper, showcasing a sophisticated color palette and unique texture.  The iconic Air Jordan design is elevated with meticulous craftsmanship, perfect for young trendsetters who appreciate both style and comfort.  Durable construction ensures lasting wear.",205980,Nike,1,Kid
C182EFF1,AIR JORDAN  MID SE CRAFT BIG KIDS SHOES,VJv0Nj ,"These Air Jordan 1 Mid SE Craft Big Kids' Shoes boast a premium suede upper in a rich autumnal palette, complemented by subtly textured overlays and a clean white midsole.  Designed for style-conscious young athletes, they blend iconic Air Jordan heritage with contemporary flair, offering superior comfort and all-day wearability.",369900,Nike,"1, 2",Kid
DF77A15A,AIR JORDAN  MID SE CRAFT MENS SHOES,wJLJQs ,"The Air Jordan 1 Mid SE Craft boasts a premium suede upper, showcasing a sophisticated blend of textures and earthy tones.  Its elevated design, complete with subtly contrasting accents, offers a refined take on a classic silhouette, perfect for the discerning sneakerhead seeking both style and comfort.",81270,Nike,7,Adult
